"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","TL;DR"
"The Impact of Quantization on the Robustness of Transformer-based Text Classifiers","https://scispace.com/paper/the-impact-of-quantization-on-the-robustness-of-transformer-5fa91qc7go","2024","Journal Article","arXiv.org","Seyed Parsa Neshaei
Yasaman Boreshban
Gholamreza Ghassem-Sani
Seyed Abolghasem Mirroshandel","10.48550/arxiv.2403.05365","","Transformer-based models have made remarkable advancements in various NLP areas. Nevertheless, these models often exhibit vulnerabilities when confronted with adversarial attacks. In this paper, we explore the effect of quantization on the robustness of Transformer-based models. Quantization usually involves mapping a high-precision real number to a lower-precision value, aiming at reducing the size of the model at hand. To the best of our knowledge, this work is the first application of quantization on the robustness of NLP models. In our experiments, we evaluate the impact of quantization on BERT and DistilBERT models in text classification using SST-2, Emotion, and MR datasets. We also evaluate the performance of these models against TextFooler, PWWS, and PSO adversarial attacks. Our findings show that quantization significantly improves (by an average of 18.68%) the adversarial accuracy of the models. Furthermore, we compare the effect of quantization versus that of the adversarial training approach on robustness. Our experiments indicate that quantization increases the robustness of the model by 18.80% on average compared to adversarial training without imposing any extra computational overhead during training. Therefore, our results highlight the effectiveness of quantization in improving the robustness of NLP models.","Quantization significantly improves the robustness of Transformer-based text classifiers by increasing their adversarial accuracy and reducing the computational overhead during training."
"Evaluating the Cybersecurity Robustness of Commercial LLMs against Adversarial Prompts: A PromptBench Analysis","https://scispace.com/paper/evaluating-the-cybersecurity-robustness-of-commercial-llms-nwcx7i5fnj","2024","Preprint","","Takeshi Goto
Kensuke Ono
Akira Morita","10.36227/techrxiv.170975411.12532297/v1","","This study presents a comprehensive evaluation of the cybersecurity robustness of five leading Large Language Models (LLMs)-ChatGPT-4, Google Gemini, Anthropic Claude, Meta Llama, and Mistral 8x7B-against adversarial prompts using the PromptBench benchmark. Through a dual approach of quantitative and qualitative analysis, the research explores each model's performance, resilience, and vulnerabilities. Quantitative metrics such as accuracy, precision, recall, and F1 scores offer a statistical comparison across models, while qualitative insights reveal distinct patterns of response and susceptibility to various adversarial strategies. The findings highlight significant variations in model robustness, underlining the importance of a complex approach to enhancing LLM security. This study not only sheds light on current limitations but also emphasizes the need for advancing evaluation methodologies and model development practices to mitigate potential threats and ensure the safe deployment of LLMs in sensitive and critical applications. ","Evaluating the cybersecurity robustness of LLMs against adversarial prompts using PromptBench benchmark reveals significant variations in model resilience and vulnerabilities."
"SafeQuant: LLM Safety Analysis via Quantized Gradient Inspection","https://scispace.com/paper/safequant-llm-safety-analysis-via-quantized-gradient-txrgkk05r19u","","Journal Article","","Sindhu Padakandla
Sadbhavana Babar
Rathod Darshan D
Manohar Kaul","10.18653/v1/2025.naacl-long.127","","Content warning: This paper contains examples of harmful language and content. Contemporary jailbreak attacks on Large Language Models (LLMs) employ sophisticated techniques with obfuscated content to bypass safety guardrails. Existing defenses either use computationally intensive LLM verification or require adversarial fine-tuning, leaving models vulnerable to advanced attacks. We introduce SafeQuant, a novel defense framework that leverages quantized gradient patterns to identify harmful prompts efficiently. Our key insight is that when generating identical responses like “Sure"", LLMs exhibit distinctly different internal gradient patterns for safe versus harmful prompts, reflecting conflicts with safety training. By capturing these patterns through selective gradient masking and quantization, SafeQuant significantly outperforms existing defenses across multiple benchmarks while maintaining model utility. The method demonstrates particular effectiveness against sophisticated attacks like WordGame prompts and persuasive adversarial attacks, achieving an F1-score of 0.80 on WordGame dataset and outperforming state-of-the-art (SoTA) methods like GradSafe by an absolute margin of 57%.","This paper introduces SafeQuant, a novel defense framework that leverages quantized gradient patterns to identify harmful prompts in Large Language Models, outperforming existing defenses and state-of-the-art methods in detecting sophisticated attacks with high F1-score."
"Safety and Security Analysis of Large Language Models: Benchmarking Risk Profile and Harm Potential","https://scispace.com/paper/safety-and-security-analysis-of-large-language-models-818brjv5ubil","2025","Journal Article","","Akiri, CharanKumar
Aryal, Kshitiz
Gupta, Maanak","10.48550/arxiv.2509.10655","https://scispace.compdf/safety-and-security-analysis-of-large-language-models-818brjv5ubil.pdf","While the widespread deployment of Large Language Models (LLMs) holds great potential for society, their vulnerabilities to adversarial manipulation and exploitation can pose serious safety, security, and ethical risks. As new threats continue to emerge, it becomes critically necessary to assess the landscape of LLMs' safety and security against evolving adversarial prompt techniques. To understand the behavior of LLMs, this research provides an empirical analysis and risk profile of nine prominent LLMs, Claude Opus 4, DeepSeek V3 (both open-source and online), Gemini 2.5 Flash, GPT-4o, Grok 3, Llama 4 Scout, Mistral 7B, and Qwen 3 1.7B, against 24 different security and safety categories. These LLMs are evaluated on their ability to produce harmful responses for adversarially crafted prompts (dataset has been made public) for a broad range of safety and security topics, such as promotion of violent criminal behavior, promotion of non-violent criminal activity, societal harms related to safety, illegal sexual content, dangerous code generation, and cybersecurity threats beyond code. Our study introduces the Risk Severity Index (RSI), an agile and scalable evaluation score, to quantify and compare the security posture and creating a risk profile of LLMs. As the LLM development landscape progresses, the RSI is intended to be a valuable metric for comparing the risks of LLMs across evolving threats. This research finds widespread vulnerabilities in the safety filters of the LLMs tested and highlights the urgent need for stronger alignment, responsible deployment practices, and model governance, particularly for open-access and rapidly iterated models. ","This study assesses the safety and security of nine prominent Large Language Models against 24 security categories, introducing the Risk Severity Index to quantify vulnerabilities and risks, highlighting widespread safety filter weaknesses and the need for stronger model governance."
"Alignment-Aware Quantization for LLM Safety","https://scispace.com/paper/alignment-aware-quantization-for-llm-safety-g3humrfw9xua","2025","Journal Article","arXiv.org","Sunghyun Wee
Suyoung Kim
Hyeonjin Kim
Kyomin Hwang
Nojun Kwak","10.48550/arxiv.2511.07842","","Safety and efficiency are paramount yet often conflicting requirements for deploying Large Language Models (LLMs). While LLMs are trained to follow human alignment for safety, Post-Training Quantization (PTQ) is applied afterward to ensure efficiency. Here we identify a fundamental flaw in the conventional PTQ paradigm: quantization can turn into a safety vulnerability if it only aims to achieve low perplexity. To address this, we propose Alignment-Aware Quantization (AAQ), a novel approach that integrates an Alignment-Preserving Contrastive (APC) loss into the PTQ pipeline. Our method explicitly preserves alignment by encouraging the quantized model to mimic its safe, instruction-tuned model while diverging from the unaligned, pre-trained counterpart. AAQ achieves robust safety alignment without specialized safety-focused datasets, using only standard calibration data. We show that AAQ is compatible with standard PTQ techniques and enables robust 4-bit (W4A4) quantization across diverse model families. Our work resolves the critical trade-off between efficiency and safety, paving the way toward LLMs that are both efficient and trustworthy. Anonymized code is available in the supplementary material.","This study proposes Alignment-Aware Quantization (AAQ), a novel approach that integrates an Alignment-Preserving Contrastive loss into the Post-Training Quantization pipeline to ensure safety and efficiency in Large Language Models."
"Adversarial Attacks and Defenses on Large Language Models: A Systematic Review","https://scispace.com/paper/adversarial-attacks-and-defenses-on-large-language-models-a-3krsyb8cl8rm","2025","Journal Article","","Ruobing Li
Jiayi Liu
Jinyang Zhen
Yuyuan Bao
Yiqing Qiang
Yue Xu
Yuxi Gu
Yuxin Jin
Daoming Yu
Yunchao He
Mian Zhou
Angelos Stefanidis
Jionglong Su","10.1109/bdai66031.2025.11325628","","The rapid advancement of large language models (LLMs) presents both transformative opportunities and significant security challenges, primarily due to their susceptibility to adversarial attacks-crafted inputs designed to deceive them-which pose considerable risks to their reliability and security. This survey comprehensively reviews these textual adversarial attacks, categorizing them into sentence-level, wordlevel, and character-level manipulations, while also exploring multi-level approaches that combine these techniques. To counter such threats, the survey examines a range of defense strategies, including detection methods, adversarial training, semantic analysis, general system enhancements, and approaches to certified robustness for provable resilience. Despite notable progress in understanding and mitigating these vulnerabilities, significant challenges remain regarding real-world applicability, scalability, generalization across different models and attack types, and the establishment of standardized benchmarking. By synthesizing recent research in this dynamic field, this survey aims to guide the development of more secure and robust language models capable of withstanding the continuously evolving landscape of adversarial threats. ","This systematic review categorizes textual adversarial attacks on large language models into sentence, word, and character-level manipulations, and explores defense strategies, including detection, adversarial training, and certified robustness, highlighting remaining challenges in real-world applicability and scalability."
"Evaluating and Exploiting Security Vulnerabilities in Large Language Models (LLMs) for Offensive Penetration Testing","https://scispace.com/paper/evaluating-and-exploiting-security-vulnerabilities-in-large-7sm0kd1g1412","2025","Journal Article","","M Muhil
A Ramnarayan
U. Abhinav
M. Lakshmi","10.1109/iccpct65132.2025.11176591","","Large Language Models (LLMs) are increasingly vital in AI systems, but their security vulnerabilities require deeper investigation. This paper introduces a novel offensive penetration testing framework designed to systematically evaluate these security risks in leading LLMs. We probed six state-of-the-art models using five distinct exploit strategies, including prompt injection, multi-turn jailbreaks, and context manipulation techniques like Hybrid Agent Roleplay Exploitation (HARE) and Token Economy Poisoning. Our experiments demonstrate significant security gaps: many tested LLMs suffer from context-dependent security failures, delayed moderation responses, and the potential for stealthy leakage of sensitive information. By quantifying each model’s vulnerability through success rate, stealth, and novelty metrics, we reveal varying degrees of susceptibility. Based on these findings, we propose targeted alignment strategies to address the identified weaknesses. This research underscores the urgent need for robust security measures and contributes towards building more secure, context-aware LLMs suitable for safety-critical applications.","This study evaluates security vulnerabilities in six state-of-the-art Large Language Models (LLMs) using five exploit strategies, revealing significant security gaps, including context-dependent failures and sensitive information leakage, and proposes targeted alignment strategies to address these weaknesses."
"Assessing Adversarial Robustness of Large Language Models: An Empirical
  Study","https://scispace.com/paper/assessing-adversarial-robustness-of-large-language-models-an-swlg15cfkx","2024","Preprint","","Zeyu Yang
Meng Zhao
Xiaochen Zheng
Roger Wattenhofer","10.48550/arxiv.2405.02764","https://scispace.compdf/assessing-adversarial-robustness-of-large-language-models-an-swlg15cfkx.pdf","Large Language Models (LLMs) have revolutionized natural language processing, but their robustness against adversarial attacks remains a critical concern. We presents a novel white-box style attack approach that exposes vulnerabilities in leading open-source LLMs, including Llama, OPT, and T5. We assess the impact of model size, structure, and fine-tuning strategies on their resistance to adversarial perturbations. Our comprehensive evaluation across five diverse text classification tasks establishes a new benchmark for LLM robustness. The findings of this study have far-reaching implications for the reliable deployment of LLMs in real-world applications and contribute to the advancement of trustworthy AI systems. ","The robustness of large language models against adversarial attacks is a critical concern. This study explores vulnerabilities in leading open-source LLMs and assesses the impact of model size, structure, and fine-tuning strategies on their resistance to adversarial perturbations."
"Improving the adversarial robustness of quantized neural networks via exploiting the feature diversity","https://scispace.com/paper/improving-the-adversarial-robustness-of-quantized-neural-1su2lkvhsc","2023","Journal Article","Pattern Recognition Letters","Tianshu Chu
Kun Fang
Xiaolei Huang","10.1016/j.patrec.2023.10.024","","Quantized neural networks (QNNs) have become one of the most prevalent approaches in deep learning model compression due to their computational and storage efficiency. However, there is a lack of research specialized in the adversarial robustness of QNNs, which is important for applications in security-critical domains. Existing defenses focus on conventional full-precision networks, which can result in behavioral disparities and degrade the expected performance when directly transferred to QNNs. A novel defensive strategy promotes feature diversity through an orthogonal constraint, which can synergize well with quantization. Inspired by this intuition, we propose an orthogonal regularization with quantization to improve the adversarial robustness of QNNs in this paper. Moreover, we observe that quantization serves as an implicit regularization and is able to alleviate orthogonal degeneration. The proposed orthogonal regularization with quantization is validated on several typical network architectures and benchmark datasets. The results demonstrate that the proposed method can notably enhance adversarial robustness against both white-box and black-box attacks. ","This paper proposes an orthogonal regularization with quantization to improve the adversarial robustness of quantized neural networks, leveraging feature diversity and implicit regularization to enhance security in security-critical domains with notable results."
"Quantized but Deceptive? A Multi-Dimensional Truthfulness Evaluation of Quantized LLMs","https://scispace.com/paper/quantized-but-deceptive-a-multi-dimensional-truthfulness-6n2an05mg2wa","2025","Journal Article","arXiv.org","Yao Fu
Xianxuan Long
Runchao Li
Haotian Yu
Mu Sheng
Xiaotian Han
Yin Yu
Pan Li","10.48550/arxiv.2508.19432","https://scispace.compdf/quantized-but-deceptive-a-multi-dimensional-truthfulness-6n2an05mg2wa.pdf","Quantization enables efficient deployment of large language models (LLMs) in resource-constrained environments by significantly reducing memory and computation costs. While quantized LLMs often maintain performance on perplexity and zero-shot tasks, their impact on truthfulness-whether generating truthful or deceptive responses-remains largely unexplored. In this work, we introduce TruthfulnessEval, a comprehensive evaluation framework for assessing the truthfulness of quantized LLMs across three dimensions: (1) Truthfulness on Logical Reasoning; (2) Truthfulness on Common Sense; and (3) Truthfulness on Imitative Falsehoods. Using this framework, we examine mainstream quantization techniques (ranging from 4-bit to extreme 2-bit) across several open-source LLMs. Surprisingly, we find that while quantized models retain internally truthful representations, they are more susceptible to producing false outputs under misleading prompts. To probe this vulnerability, we test 15 rephrased variants of""honest"",""neutral""and""deceptive""prompts and observe that""deceptive""prompts can override truth-consistent behavior, whereas""honest""and""neutral""prompts maintain stable outputs. Further, we reveal that quantized models""know""the truth internally yet still produce false outputs when guided by""deceptive""prompts via layer-wise probing and PCA visualizations. Our findings provide insights into future designs of quantization-aware alignment and truthfulness interventions.","This study evaluates the truthfulness of quantized large language models (LLMs) across three dimensions, revealing that while they retain truthful representations, they are susceptible to producing false outputs under misleading prompts, compromising their truthfulness."
"Quantized Delta Weight Is Safety Keeper","https://scispace.com/paper/quantized-delta-weight-is-safety-keeper-16dpeh07revi","2024","Journal Article","","Yule Liu
Zhen Sun
Xinlei He
Xing-Zhong Huang","10.48550/arxiv.2411.19530","https://scispace.compdf/quantized-delta-weight-is-safety-keeper-16dpeh07revi.pdf","Recent advancements in fine-tuning proprietary language models enable customized applications across various domains but also introduce two major challenges: high resource demands and security risks. Regarding resource demands, recent work proposes novel partial compression, such as BitDelta, to quantize the delta weights between the fine-tuned model and base model. Regarding the security risks, user-defined fine-tuning can introduce security vulnerabilities, such as alignment issues, backdoor attacks, and hallucinations. However, most of the current efforts in security assessment focus on the full-precision or full-compression models, it is not well-discussed how the partial compression methods affect security concerns. To bridge this gap, we evaluate the robustness of delta-weight quantization against these security threats. In this paper, we uncover a ""free lunch"" phenomenon: partial compression can enhance model security against fine-tuning-based attacks with bearable utility loss. Using Llama-2-7b-chat as a case study, we show that, with under 10% utility degradation, the partial compression mitigates alignment-breaking risks by up to 66.17%, harmful backdoor vulnerabilities by 64.46%, and targeted output manipulation risks by up to 90.53%. We further apply LogitLens to visualize internal state transformations during forward passes, suggesting mechanisms for both security failure and recovery in standard versus compressed fine-tuning. This work offers new insights into selecting effective delta compression methods for secure, resource-efficient multi-tenant services. ","This study evaluates the security of delta-weight quantization in fine-tuned language models, discovering a ""free lunch"" phenomenon where partial compression enhances model security against attacks with minimal utility loss, mitigating risks by up to 90.53%."
