"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Security considerations for multi-agent systems","https://scispace.com/paper/EfSWnaLQyuMJ","","","","T Nguyen
M Ndebugre
D Arremsetty","","https://arxiv.org/pdf/2603.09002","- **Relevance Score:** 46/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses multi‑agent chat interfaces to discuss provenance obscurity and bias propagation, addressing security of multi‑agent LLMs, but lacks detailed lateral‑movement attacks, comprehensive trust mechanisms, or AI memory analysis.",""
"BlockA2A: Towards Secure and Verifiable Agent-to-Agent Interoperability","https://scispace.com/paper/blocka2a-towards-secure-and-verifiable-agent-to-agent-r9epzrr6eeei","2025","Journal Article","arXiv.org","Zhenhua Zou
Zhuotao Liu
Lepeng Zhao
Qiuyang Zhan","10.48550/arxiv.2508.01332","https://scispace.compdf/blocka2a-towards-secure-and-verifiable-agent-to-agent-r9epzrr6eeei.pdf","- **Relevance Score:** 44/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses secure aggregation and attack taxonomy to address multi‑agent LLM threats; mentions prompt infection and AiTM as lateral‑movement‑like attacks, but lacks cohesive trust/provenance framework and discussion of AI memory storage or protection.","The rapid adoption of agentic AI, powered by large language models (LLMs), is transforming enterprise ecosystems with autonomous agents that execute complex workflows. Yet we observe several key security vulnerabilities in LLM-driven multi-agent systems (MASes): fragmented identity frameworks, insecure communication channels, and inadequate defenses against Byzantine agents or adversarial prompts. In this paper, we present the first systematic analysis of these emerging multi-agent risks and explain why the legacy security strategies cannot effectively address these risks. Afterwards, we propose BlockA2A, the first unified multi-agent trust framework that enables secure and verifiable and agent-to-agent interoperability. At a high level, BlockA2A adopts decentralized identifiers (DIDs) to enable fine-grained cross-domain agent authentication, blockchain-anchored ledgers to enable immutable auditability, and smart contracts to dynamically enforce context-aware access control policies. BlockA2A eliminates centralized trust bottlenecks, ensures message authenticity and execution integrity, and guarantees accountability across agent interactions. Furthermore, we propose a Defense Orchestration Engine (DOE) that actively neutralizes attacks through real-time mechanisms, including Byzantine agent flagging, reactive execution halting, and instant permission revocation. Empirical evaluations demonstrate BlockA2A's effectiveness in neutralizing prompt-based, communication-based, behavioral and systemic MAS attacks. We formalize its integration into existing MAS and showcase a practical implementation for Google's A2A protocol. Experiments confirm that BlockA2A and DOE operate with sub-second overhead, enabling scalable deployment in production LLM-based MAS environments."
"Exploring LLM-based multi-agent situation awareness for zero-trust space-air-ground integrated network","https://scispace.com/paper/exploring-llm-based-multi-agent-situation-awareness-for-zero-jw2vug35mqj2","","Journal Article","IEEE Journal on Selected Areas in Communications","Gu Nan
Hongcan Guo
Hanqing Mu
Long Wang
Jiayi Li
Baohua Qin
Qimei Cui
Tony Q. S. Quek","10.1109/jsac.2025.3560042","","- **Relevance Score:** 44/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses dynamic multi‑agent LLM to detect attack features in zero‑trust SAGIN, addressing multi‑agent security and some lateral‑movement aspects, but lacks detailed provenance, lineage, or AI memory mechanisms.",""
"A survey of llm-driven ai agent communication: Protocols, security risks, and defense countermeasures","https://scispace.com/paper/a-survey-of-llm-driven-ai-agent-communication-protocols-5xihscf0sz61","","Journal Article","arXiv.org","Dezhang Kong
Shi Lin
Zhebo Wang
Minghao Li
Yufeng Li
Yilun Zhang
Zeyang Sha
Yuyuan Li
Changting Lin
Xun Wang
Xuan Liu
Ningyu Zhang
Muhammad Khurram Khan","10.48550/arxiv.2506.19676","https://arxiv.org/pdf/2506.19676","- **Relevance Score:** 44/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Survey details multi‑agent LLM threats and defenses, mentions lateral‑movement style attacks, but lacks deep treatment of trust provenance, lineage tracking, and AI memory mechanisms.",""
"Tipping the Dominos: Topology-Aware Multi-Hop Attacks on LLM-Based Multi-Agent Systems","https://scispace.com/paper/tipping-the-dominos-topology-aware-multi-hop-attacks-on-llm-zvwolibpg5h7","2025","Journal Article","arXiv.org","Ruichao Liang
Le Yin
Jing Chen
Cong Wu
Xiaoyu Zhang
Huangpeng Gu
Zijian Zhang
Yang Liu","10.48550/arxiv.2512.04129","https://export.arxiv.org/pdf/2512.04129v1.pdf","- **Relevance Score:** 43/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses topology‑aware multi‑hop attacks to expose MAS vulnerabilities and proposes trust‑based defenses, but lacks detailed provenance, lineage, or memory protection mechanisms.","LLM-based multi-agent systems (MASs) have reshaped the digital landscape with their emergent coordination and problem-solving capabilities. However, current security evaluations of MASs are still confined to limited attack scenarios, leaving their security issues unclear and likely underestimated. To fill this gap, we propose TOMA, a topology-aware multi-hop attack scheme targeting MASs. By optimizing the propagation of contamination within the MAS topology and controlling the multi-hop diffusion of adversarial payloads originating from the environment, TOMA unveils new and effective attack vectors without requiring privileged access or direct agent manipulation. Experiments demonstrate attack success rates ranging from 40% to 78% across three state-of-the-art MAS architectures: \textsc{Magentic-One}, \textsc{LangManus}, and \textsc{OWL}, and five representative topologies, revealing intrinsic MAS vulnerabilities that may be overlooked by existing research. Inspired by these findings, we propose a conceptual defense framework based on topology trust, and prototype experiments show its effectiveness in blocking 94.8% of adaptive and composite attacks."
"TRiSM for Agentic AI: A Review of Trust, Risk, and Security Management in LLM-based Agentic Multi-Agent Systems","https://scispace.com/paper/trism-for-agentic-ai-a-review-of-trust-risk-and-security-a3j8pey913o3","2025","Journal Article","arXiv.org","Shaina Raza
Ranjan Sapkota
Manoj Karkee
Christos Emmanouilidis","10.48550/arxiv.2506.04133","https://scispace.compdf/trism-for-agentic-ai-a-review-of-trust-risk-and-security-a3j8pey913o3.pdf","- **Relevance Score:** 43/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses TRiSM framework to discuss trust, security, and privacy in LLM‑based agentic systems; lacks lateral‑movement attack details, explicit provenance lineage, and deep AI‑memory analysis.","Agentic AI systems, built upon large language models (LLMs) and deployed in multi-agent configurations, are redefining intelligence, autonomy, collaboration, and decision-making across enterprise and societal domains. This review presents a structured analysis of Trust, Risk, and Security Management (TRiSM) in the context of LLM-based Agentic Multi-Agent Systems (AMAS). We begin by examining the conceptual foundations of Agentic AI and highlight its architectural distinctions from traditional AI agents. We then adapt and extend the AI TRiSM framework for Agentic AI, structured around key pillars: \textit{ Explainability, ModelOps, Security, Privacy} and \textit{their Lifecycle Governance}, each contextualized to the challenges of AMAS. A risk taxonomy is proposed to capture the unique threats and vulnerabilities of Agentic AI, ranging from coordination failures to prompt-based adversarial manipulation. To support practical assessment in Agentic AI works, we introduce two novel metrics: the Component Synergy Score (CSS), which quantifies the quality of inter-agent collaboration, and the Tool Utilization Efficacy (TUE), which evaluates the efficiency of tool use within agent workflows. We further discuss strategies for improving explainability in Agentic AI, as well as approaches to enhancing security and privacy through encryption, adversarial robustness, and regulatory compliance. The review concludes with a research roadmap for the responsible development and deployment of Agentic AI, highlighting key directions to align emerging systems with TRiSM principles-ensuring safety, transparency, and accountability in their operation."
"G-safeguard: A topology-guided security lens and treatment on llm-based multi-agent systems","https://scispace.com/paper/g-safeguard-a-topology-guided-security-lens-and-treatment-on-ida5icn5dwp8","2025","Journal Article","","Shilong Wang
Guibin Zhang
Miao Yu
Guancheng Wan
Fanqing Meng
Chunbao Guo
Kun Wang
Yang Wang","10.18653/v1/2025.acl-long.359","https://aclanthology.org/2025.acl-long.359.pdf","- **Relevance Score:** 43/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses graph‑neural‑network lens to detect anomalous agent behavior and lateral‑movement attacks in LLM‑MAS, but lacks discussion of provenance, lineage, or AI memory protection.",""
"Mitigating the OWASP Top 10 For Large Language Models Applications using Intelligent Agents","https://scispace.com/paper/mitigating-the-owasp-top-10-for-large-language-models-2vao08e0qcae","2026","Journal Article","","Mohammad Fasha
Faisal Abul Rub
Nasim Matar
Bilal Sowan
Mohammad Al Khaldy","10.48550/arxiv.2601.18105","","- **Relevance Score:** 42/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses intelligent agents to mitigate OWASP Top 10 risks, directly addressing multi‑agent LLM security. Mentions a unified framework but lacks detailed lateral‑movement, provenance, or AI‑memory mechanisms.","Large Language Models (LLMs) have emerged as a transformative and disruptive technology, enabling a wide range of applications in natural language processing, machine translation, and beyond. However, this widespread integration of LLMs also raised several security concerns highlighted by the Open Web Application Security Project (OWASP), which has identified the top 10 security vulnerabilities inherent in LLM applications. Addressing these vulnerabilities is crucial, given the increasing reliance on LLMs and the potential threats to data integrity, confidentiality, and service availability. This paper presents a framework designed to mitigate the security risks outlined in the OWASP Top 10. Our proposed model leverages LLM-enabled intelligent agents, offering a new approach to proactively identify, assess, and counteract security threats in real-time. The proposed framework serves as an initial blueprint for future research and development, aiming to enhance the security measures of LLMs and protect against emerging threats in this rapidly evolving landscape. "
"LLM-driven Provenance Forensics for Threat Investigation and Detection","https://scispace.com/paper/llm-driven-provenance-forensics-for-threat-investigation-and-4ccgrtl3icux","2025","Journal Article","arXiv.org","Kunal Mukherjee
Murat Kantarcioglu","10.48550/arxiv.2508.21323","https://scispace.compdf/llm-driven-provenance-forensics-for-threat-investigation-and-4ccgrtl3icux.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses an agentic LLM to retrieve and verify provenance evidence, offering strong trust and lineage tracking. Lacks multi‑agent security focus, lateral‑movement discussion, and detailed AI memory handling.","We introduce PROVSEEK, an LLM-powered agentic framework for automated provenance-driven forensic analysis and threat intelligence extraction. PROVSEEK employs specialized toolchains to dynamically retrieve relevant context by generating precise, context-aware queries that fuse a vectorized threat report knowledge base with data from system provenance databases. The framework resolves provenance queries, orchestrates multiple role-specific agents to mitigate hallucinations, and synthesizes structured, ground-truth verifiable forensic summaries. By combining agent orchestration with Retrieval-Augmented Generation (RAG) and chain-of-thought (CoT) reasoning, PROVSEEK enables adaptive multi-step analysis that iteratively refines hypotheses, verifies supporting evidence, and produces scalable, interpretable forensic explanations of attack behaviors. By combining provenance data with agentic reasoning, PROVSEEK establishes a new paradigm for grounded agentic forecics to investigate APTs. We conduct a comprehensive evaluation on publicly available DARPA datasets, demonstrating that PROVSEEK outperforms retrieval-based methods for intelligence extraction task, achieving a 34% improvement in contextual precision/recall; and for threat detection task, PROVSEEK achieves 22%/29% higher precision/recall compared to both a baseline agentic AI approach and State-Of-The-Art (SOTA) Provenance-based Intrusion Detection System (PIDS)."
"Prompt Infection: LLM-to-LLM Prompt Injection within Multi-Agent Systems","https://scispace.com/paper/prompt-infection-llm-to-llm-prompt-injection-within-multi-5rcjyv2nbaup","2024","Journal Article","","Dong-Hyun Lee
Mansi Tiwari","10.48550/arxiv.2410.07283","https://export.arxiv.org/pdf/2410.07283v1.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Shows Prompt Infection to spread malicious prompts across agents and proposes LLM Tagging defense; lacks discussion of trust provenance, lineage tracking, or AI memory handling.","As Large Language Models (LLMs) grow increasingly powerful, multi-agent systems are becoming more prevalent in modern AI applications. Most safety research, however, has focused on vulnerabilities in single-agent LLMs. These include prompt injection attacks, where malicious prompts embedded in external content trick the LLM into executing unintended or harmful actions, compromising the victim's application. In this paper, we reveal a more dangerous vector: LLM-to-LLM prompt injection within multi-agent systems. We introduce Prompt Infection, a novel attack where malicious prompts self-replicate across interconnected agents, behaving much like a computer virus. This attack poses severe threats, including data theft, scams, misinformation, and system-wide disruption, all while propagating silently through the system. Our extensive experiments demonstrate that multi-agent systems are highly susceptible, even when agents do not publicly share all communications. To address this, we propose LLM Tagging, a defense mechanism that, when combined with existing safeguards, significantly mitigates infection spread. This work underscores the urgent need for advanced security measures as multi-agent LLM systems become more widely adopted. "
"Toward a Safe Internet of Agents","https://scispace.com/paper/toward-a-safe-internet-of-agents-xexr62yqf95i","2025","Journal Article","arXiv.org","Juan A. Wibowo
George C. Polyzos","10.48550/arxiv.2512.00520","https://export.arxiv.org/pdf/2512.00520v1.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses architectural deconstruction to map safety risks in multi‑agent LLM systems, but lacks concrete lateral‑movement scenarios, provenance mechanisms, or detailed AI memory handling.","Background: Autonomous agents powered by Large Language Models (LLMs) are driving a paradigm shift toward an""Internet of Agents""(IoA). While offering immense potential, this vision also introduces novel and systemic risks to safety and security. Objectives: Unlike common threat-centric taxonomies, our survey provides a principled, architectural framework for engineering safe and reliable agentic systems. We aim to identify the architectural sources of vulnerabilities to establish a foundation for secure design. Methods: We perform a bottom-up deconstruction of agentic systems, treating each component as a dual-use interface. The analysis spans three levels of complexity: the foundational Single Agent, the collaborative Multi-Agent System (MAS), and the visionary Interoperable Multi-Agent System (IMAS). At each level, we identify core architectural components and their inherent security risks. Results&Conclusions: Our central finding is that agentic safety is an architectural principle, not an add-on. By identifying specific vulnerabilities and deriving mitigation principles at each level of the agentic stack, this survey serves as a foundational guide for building the capable, safe, and trustworthy AI needed to realize a secure Internet of Agents."
"Seven Security Challenges That Must be Solved in Cross-domain Multi-agent LLM Systems","https://scispace.com/paper/seven-security-challenges-that-must-be-solved-in-cross-cza61ine6ngw","2025","Journal Article","","Ko, Ronny
Jeong Jiseong
Zheng Shu-yuan
Xiao Chuan
Kim Tae Wan
Onizuka Makoto
Shin, Won-Yong","10.48550/arxiv.2505.23847","https://scispace.compdf/seven-security-challenges-that-must-be-solved-in-cross-cza61ine6ngw.pdf","- **Relevance Score:** 38/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Maps seven novel security challenges for cross‑domain multi‑agent LLMs, explicitly discussing threats and defenses; mentions emergent attack dynamics and data provenance, but lacks a unified scenario linking trust, lineage, and memory, and provides limited detail on AI memory protection.","Large language models (LLMs) are rapidly evolving into autonomous agents that cooperate across organizational boundaries, enabling joint disaster response, supply-chain optimization, and other tasks that demand decentralized expertise without surrendering data ownership. Yet, cross-domain collaboration shatters the unified trust assumptions behind current alignment and containment techniques. An agent benign in isolation may, when receiving messages from an untrusted peer, leak secrets or violate policy, producing risks driven by emergent multi-agent dynamics rather than classical software bugs. This position paper maps the security agenda for cross-domain multi-agent LLM systems. We introduce seven categories of novel security challenges, for each of which we also present plausible attacks, security evaluation metrics, and future research guidelines. "
"Large Model Based Agents: State-of-the-Art, Cooperation Paradigms, Security and Privacy, and Future Trends","https://scispace.com/paper/large-model-based-agents-state-of-the-art-cooperation-6k793f4a3x99","2025","Journal Article","IEEE Communications Surveys and Tutorials","Yuntao Wang
Yanghe Pan
Zhou Su
Yi Deng
Quan Zhao
Linkang Du
Tom H. Luan
Jiawen Kang
Dusit Niyato","10.1109/comst.2025.3576176","https://scispace.compdf/large-model-based-agents-state-of-the-art-cooperation-6k793f4a3x99.pdf","- **Relevance Score:** 38/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses security module overview and memory architectures to discuss defenses and storage, but lacks a unified scenario linking lateral movement, trust provenance, and AI memory.",""
"BlindGuard: Safeguarding LLM-based Multi-Agent Systems under Unknown Attacks","https://scispace.com/paper/blindguard-safeguarding-llm-based-multi-agent-systems-under-s9509j2lmtso","2025","Journal Article","arXiv.org","Rui Miao
Yixin Liu
Yili Wang
Xu Shen
Yue Tan
Yiwei Dai
Shirui Pan
Xin Wang","10.48550/arxiv.2508.08127","https://scispace.compdf/blindguard-safeguarding-llm-based-multi-agent-systems-under-s9509j2lmtso.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Detects malicious agents in LLM MAS using unsupervised encoder; covers propagation attacks but lacks trust, provenance, and detailed AI memory management.","The security of LLM-based multi-agent systems (MAS) is critically threatened by propagation vulnerability, where malicious agents can distort collective decision-making through inter-agent message interactions. While existing supervised defense methods demonstrate promising performance, they may be impractical in real-world scenarios due to their heavy reliance on labeled malicious agents to train a supervised malicious detection model. To enable practical and generalizable MAS defenses, in this paper, we propose BlindGuard, an unsupervised defense method that learns without requiring any attack-specific labels or prior knowledge of malicious behaviors. To this end, we establish a hierarchical agent encoder to capture individual, neighborhood, and global interaction patterns of each agent, providing a comprehensive understanding for malicious agent detection. Meanwhile, we design a corruption-guided detector that consists of directional noise injection and contrastive learning, allowing effective detection model training solely on normal agent behaviors. Extensive experiments show that BlindGuard effectively detects diverse attack types (i.e., prompt injection, memory poisoning, and tool attack) across MAS with various communication patterns while maintaining superior generalizability compared to supervised baselines. The code is available at: https://github.com/MR9812/BlindGuard."
"A Survey on Trustworthy LLM Agents: Threats and Countermeasures","https://scispace.com/paper/a-survey-on-trustworthy-llm-agents-threats-and-25m71etmwqzd","2025","Journal Article","arXiv.org","Miao Yu
Fanci Meng
Xinyun Zhou
Shilong Wang
Junyuan Mao
Linsey Pang
Tianlong Chen
Kun Wang
Xinfeng Li
Yongfeng Zhang
Bo An
Qingsong Wen","10.48550/arxiv.2503.09648","https://scispace.compdf/a-survey-on-trustworthy-llm-agents-threats-and-25m71etmwqzd.pdf","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Survey covers security, fairness, and robustness of multi‑agent LLMs, discusses memory biases and accountability via blockchain, but lacks lateral‑movement scenarios and unified provenance framework.","With the rapid evolution of Large Language Models (LLMs), LLM-based agents and Multi-agent Systems (MAS) have significantly expanded the capabilities of LLM ecosystems. This evolution stems from empowering LLMs with additional modules such as memory, tools, environment, and even other agents. However, this advancement has also introduced more complex issues of trustworthiness, which previous research focusing solely on LLMs could not cover. In this survey, we propose the TrustAgent framework, a comprehensive study on the trustworthiness of agents, characterized by modular taxonomy, multi-dimensional connotations, and technical implementation. By thoroughly investigating and summarizing newly emerged attacks, defenses, and evaluation methods for agents and MAS, we extend the concept of Trustworthy LLM to the emerging paradigm of Trustworthy Agent. In TrustAgent, we begin by deconstructing and introducing various components of the Agent and MAS. Then, we categorize their trustworthiness into intrinsic (brain, memory, and tool) and extrinsic (user, agent, and environment) aspects. Subsequently, we delineate the multifaceted meanings of trustworthiness and elaborate on the implementation techniques of existing research related to these internal and external modules. Finally, we present our insights and outlook on this domain, aiming to provide guidance for future endeavors. For easy reference, we categorize all the studies mentioned in this survey according to our taxonomy, available at: https://github.com/Ymm-cll/TrustAgent."
