"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Breaking ReAct Agents: Foot-in-the-Door Attack Will Get You In","https://scispace.com/paper/breaking-react-agents-foot-in-the-door-attack-will-get-you-vutgjpnbm8dq","2024","Journal Article","arXiv.org","Itay Nakash
George Kour
Guy Uziel
Ateret Anaby-Tavor","10.48550/arxiv.2410.16950","https://scispace.compdf/breaking-react-agents-foot-in-the-door-attack-will-get-you-vutgjpnbm8dq.pdf","- **Relevance Score:** 80/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses ReAct agents to inject prompts into internal thoughts and tool observations; details FITD, IPI, TI, HTI attacks; evaluates multiple defenses; provides large benchmark with success metrics; frames work within AI agent security.",""
"Securing AI Agents Against Prompt Injection Attacks","https://scispace.com/paper/securing-ai-agents-against-prompt-injection-attacks-0i1e3904i7ix","2025","Journal Article","arXiv.org","Badrinath Ramakrishnan
Akshaya Balaji","10.48550/arxiv.2511.15759","https://export.arxiv.org/pdf/2511.15759v1.pdf","- **Relevance Score:** 78/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses RAG‑enabled agents to study prompt injection, defines five concrete attack categories, proposes three layered defenses, provides a 847‑case benchmark with success‑rate metrics, and frames work within AI agent security.","Retrieval-augmented generation (RAG) systems have become widely used for enhancing large language model capabilities, but they introduce significant security vulnerabilities through prompt injection attacks. We present a comprehensive benchmark for evaluating prompt injection risks in RAG-enabled AI agents and propose a multi-layered defense framework. Our benchmark includes 847 adversarial test cases across five attack categories: direct injection, context manipulation, instruction override, data exfiltration, and cross-context contamination. We evaluate three defense mechanisms: content filtering with embedding-based anomaly detection, hierarchical system prompt guardrails, and multi-stage response verification, across seven state-of-the-art language models. Our combined framework reduces successful attack rates from 73.2% to 8.7% while maintaining 94.3% of baseline task performance. We release our benchmark dataset and defense implementation to support future research in AI agent security."
"InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents","https://scispace.com/paper/injecagent-benchmarking-indirect-prompt-injections-in-tool-h49zf5493il0","2024","Journal Article","","Qiusi Zhan
Zhixiang Liang
Zifan Ying
Daniel Kang","10.18653/v1/2024.findings-acl.624","https://scispace.compdf/injecagent-benchmarking-indirect-prompt-injections-in-tool-h49zf5493il0.pdf","- **Relevance Score:** 78/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses tool‑integrated agents with persistent scratchpad memory to expose indirect prompt injection attacks, provides concrete attack scenarios, benchmarks success rates, and evaluates resilience of fine‑tuned agents, though it offers limited novel defenses.",""
"The Task Shield: Enforcing Task Alignment to Defend Against Indirect
  Prompt Injection in LLM Agents","https://scispace.com/paper/the-task-shield-enforcing-task-alignment-to-defend-against-4xf9kx0wu168","2024","Journal Article","","Feiran Jia
Tong Wu
Qin Xin
Anna Squicciarini","10.48550/arxiv.2412.16682","https://scispace.compdf/the-task-shield-enforcing-task-alignment-to-defend-against-4xf9kx0wu168.pdf","- **Relevance Score:** 77/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses Task Shield to defend LLM agents against the Important Instructions prompt injection, evaluates on GPT‑4o/o‑mini with utility and ASR metrics, but does not explicitly focus on agents with persistent memory.","Large Language Model (LLM) agents are increasingly being deployed as conversational assistants capable of performing complex real-world tasks through tool integration. This enhanced ability to interact with external systems and process various data sources, while powerful, introduces significant security vulnerabilities. In particular, indirect prompt injection attacks pose a critical threat, where malicious instructions embedded within external data sources can manipulate agents to deviate from user intentions. While existing defenses based on rule constraints, source spotlighting, and authentication protocols show promise, they struggle to maintain robust security while preserving task functionality. We propose a novel and orthogonal perspective that reframes agent security from preventing harmful actions to ensuring task alignment, requiring every agent action to serve user objectives. Based on this insight, we develop Task Shield, a test-time defense mechanism that systematically verifies whether each instruction and tool call contributes to user-specified goals. Through experiments on the AgentDojo benchmark, we demonstrate that Task Shield reduces attack success rates (2.07\%) while maintaining high task utility (69.79\%) on GPT-4o. "
"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms","https://scispace.com/paper/prompt-injection-attacks-in-large-language-models-and-ai-dsv4ibw3x43q","2025","Repository","","Said Gulyamov
Andrey Rodionov
Rustam Khursanov
Kambariddin Mekhmonov
Djakhongir Babaev
Akmaljon Rakhimjonov","10.20944/preprints202511.0088.v1","","- **Relevance Score:** 76/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses extensive review of stateful AI agents and prompt injection, details concrete attack vectors and mitigation tactics, situates work firmly in AI agent security, but offers only aggregated evaluation metrics rather than original benchmarks.","Large Language Models (LLMs) have rapidly transformed artificial intelligence applica-tions across industries, yet their integration into production systems has unveiled critical security vulnerabilities, chief among them prompt injection attacks. This comprehensive review synthesizes research from 2023-2025, analyzing over 120 peer-reviewed papers, industry security reports, and documented real-world exploits. We examine the taxonomy of prompt injection techniques, including direct jailbreaking and indirect injection through external content. The rise of AI agent systems and the Model Context Protocol (MCP) has dramatically expanded attack surfaces, introducing vulnerabilities such as tool poisoning and credential theft. We document critical incidents including GitHub Copilot&amp;#039;s CVE-2025-53773 remote code execution vulnerability (CVSS 9.6) and ChatGPT&amp;#039;s Windows license key exposure. Research demonstrates that just five carefully crafted documents can manipulate AI responses 90% of the time through Retrieval-Augmented Generation (RAG) poisoning. This review provides actionable mitigation strategies based on OWASP Top 10 for LLM Applications 2025, identifies fundamental limitations including the stochastic nature problem and alignment paradox, and proposes research directions for architectur-ally secure AI systems. Our analysis reveals that prompt injection represents a funda-mental architectural vulnerability requiring defense-in-depth approaches rather than singular solutions. "
"AgentArmor: Enforcing Program Analysis on Agent Runtime Trace to Defend Against Prompt Injection","https://scispace.com/paper/agentarmor-enforcing-program-analysis-on-agent-runtime-trace-nc5j4pn0l3c4","2025","Journal Article","arXiv.org","Peiran Wang
Yang Liu
Yunfei Lu
Yifeng Cai
Hongbo Chen
Qingyou Yang
Jie Zhang
Jue Hong
Ye Wu","10.48550/arxiv.2508.01249","https://scispace.compdf/agentarmor-enforcing-program-analysis-on-agent-runtime-trace-nc5j4pn0l3c4.pdf","- **Relevance Score:** 76/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses program‑analysis of agent runtime traces to model stateful behavior, defines concrete prompt‑injection threat models, proposes AgentArmor enforcement, includes limited experimental results, and situates work within AI agent security.","Large Language Model (LLM) agents offer a powerful new paradigm for solving various problems by combining natural language reasoning with the execution of external tools. However, their dynamic and non-transparent behavior introduces critical security risks, particularly in the presence of prompt injection attacks. In this work, we propose a novel insight that treats the agent runtime traces as structured programs with analyzable semantics. Thus, we present AgentArmor, a program analysis framework that converts agent traces into graph intermediate representation-based structured program dependency representations (e.g., CFG, DFG, and PDG) and enforces security policies via a type system. AgentArmor consists of three key components: (1) a graph constructor that reconstructs the agent's runtime traces as graph-based intermediate representations with control and data flow described within; (2) a property registry that attaches security-relevant metadata of interacted tools \&data, and (3) a type system that performs static inference and checking over the intermediate representation. By representing agent behavior as structured programs, AgentArmor enables program analysis for sensitive data flow, trust boundaries, and policy violations. We evaluate AgentArmor on the AgentDojo benchmark, the results show that AgentArmor can reduce the ASR to 3\%, with the utility drop only 1\%."
"WASP: Benchmarking Web Agent Security Against Prompt Injection Attacks","https://scispace.com/paper/wasp-benchmarking-web-agent-security-against-prompt-l9w562xrf8t3","2025","Journal Article","arXiv.org","Ivan Evtimov
Arman Zharmagambetov
Aaron Grattafiori
Chuan Guo
Kamalika Chaudhuri","10.48550/arxiv.2504.18575","https://scispace.compdf/wasp-benchmarking-web-agent-security-against-prompt-l9w562xrf8t3.pdf","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses a comprehensive benchmark to evaluate prompt injection attacks on web agents that retain state, details concrete attack vectors, proposes defensive prompts and system‑level mitigations, and situates findings within AI agent security.",""
"Your Agent is More Brittle Than You Think: Uncovering Indirect Injection Vulnerabilities in Agentic LLMs","https://scispace.com/paper/42p2AIZwmvYJ","","","","W Zhu
X Dong
X Chen
R Cai
P Qiu
Z Wang","","https://arxiv.org/pdf/2604.03870","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses indirect prompt injection to hijack stateful LLM agents, details concrete attack pipelines, evaluates existing defenses, provides systematic benchmarks across models, and frames findings within AI agent security.",""
"Agent Data Injection Attacks are Realistic Threats to AI Agents","https://scispace.com/paper/http://arxiv.org/abs/2607.05120v1","2026","Preprint","","Woohyuk Choi
Juhee Kim
Taehyun Kang
Jihyeon Jeong
Luyi Xing
Byoungyoung Lee","","https://arxiv.org/pdf/2607.05120v1","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Introduces ADI attacks on agents, details arbitrary click and code execution exploits, evaluates them across models, but offers no mitigation strategies; firmly placed in AI agent security research.","AI agents act on behalf of user prompts, consuming external data and taking actions based on the agent context. Prior research on AI agent security has primarily focused on indirect prompt injection (IPI). Its most well-studied category is instruction injection, where attacker-controlled untrusted data is interpreted as an instruction. In response, many mitigations have been proposed to prevent instruction injection attacks. In this paper, we introduce a new category of IPI, agent data injection attacks (ADI). ADI injects malicious data disguised as trusted data, such as security-critical metadata (e.g., resource identifiers or data origins) or agent context data (e.g., tool call and response formats). As a result, agents unknowingly execute unintended actions based on attacker-controlled data. ADI has similar attack impacts as instruction injection attacks, because it causes agents to misbehave and execute unintended actions. Despite the similar impact, ADI remains underexplored and easily bypasses existing IPI defenses. We found several critical vulnerabilities in real-world agents that allow an attacker to launch various attacks: arbitrary click attacks on web agents (Claude in Chrome, Antigravity, and Nanobrowser), and remote code execution and supply-chain attacks on coding agents (Claude Code, Codex, and Gemini CLI). We evaluate ADI vulnerabilities across off-the-shelf models and AI agents, and find that ADI is effective in both standalone LLMs and AI agent settings. ADI exposes a critical gap in agent security, signifying that current AI agents do not employ a fundamental security principle: current agents do not isolate trusted data from untrusted data."
"Make agent defeat agent: Automatic detection of {Taint-Style} vulnerabilities in {LLM-based} agents","https://scispace.com/paper/WSFTCXjR5ZcJ","","","","F Liu
Y Zhang
J Luo
J Dai
T Chen
L Yuan","","https://www.usenix.org/system/files/usenixsecurity25-liu-fengyu.pdf","- **Relevance Score:** 75/100
- **Relevance Tag:** Highly Relevant
- **Reasoning:** Uses taint‑style analysis to detect prompt‑injection in memory‑bearing LLM agents, describes concrete injection attacks, proposes three mitigations, evaluates them experimentally, and frames the work within AI agent security.",""
"Agentic AI Security: Threats, Defenses, Evaluation, and Open Challenges","https://scispace.com/paper/agentic-ai-security-threats-defenses-evaluation-and-open-gjv4lpqp3c35","2025","Journal Article","","Chhabra Anshuman
Mohapatra, Prasant","10.48550/arxiv.2510.23883","","- **Relevance Score:** 73/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Survey frames agentic AI security, detailing threats, attacks, defenses, and benchmarks for autonomous agents; mentions prompt injection generally but lacks deep focus on stateful memory-specific techniques.","Agentic AI systems powered by large language models (LLMs) and endowed with planning, tool use, memory, and autonomy, are emerging as powerful, flexible platforms for automation. Their ability to autonomously execute tasks across web, software, and physical environments creates new and amplified security risks, distinct from both traditional AI safety and conventional software security. This survey outlines a taxonomy of threats specific to agentic AI, reviews recent benchmarks and evaluation methodologies, and discusses defense strategies from both technical and governance perspectives. We synthesize current research and highlight open challenges, aiming to support the development of secure-by-design agent systems. "
"Security Challenges in AI Agent Deployment: Insights from a Large Scale Public Competition","https://scispace.com/paper/security-challenges-in-ai-agent-deployment-insights-from-a-vjoaq7ospqyt","2025","Journal Article","","Zou, Andy
Lin, Maxwell
Jones, Eliot
Davies, Xander
Patel, Jai
Kirk, Robert
Gal, Yarin
Hendrycks, Dan
Kolter, J. Zico
Fredrikson, Matt","10.48550/arxiv.2507.20526","","- **Relevance Score:** 73/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses large‑scale red‑team competition to expose prompt‑injection attacks on memory‑enabled agents; details concrete attack vectors and success rates; releases ART benchmark for systematic evaluation; situates findings within AI agent security; does not propose specific defenses.","Recent advances have enabled LLM-powered AI agents to autonomously execute complex tasks by combining language model reasoning with tools, memory, and web access. But can these systems be trusted to follow deployment policies in realistic environments, especially under attack? To investigate, we ran the largest public red-teaming competition to date, targeting 22 frontier AI agents across 44 realistic deployment scenarios. Participants submitted 1.8 million prompt-injection attacks, with over 60,000 successfully eliciting policy violations such as unauthorized data access, illicit financial actions, and regulatory noncompliance. We use these results to build the Agent Red Teaming (ART) benchmark - a curated set of high-impact attacks - and evaluate it across 19 state-of-the-art models. Nearly all agents exhibit policy violations for most behaviors within 10-100 queries, with high attack transferability across models and tasks. Importantly, we find limited correlation between agent robustness and model size, capability, or inference-time compute, suggesting that additional defenses are needed against adversarial misuse. Our findings highlight critical and persistent vulnerabilities in today's AI agents. By releasing the ART benchmark and accompanying evaluation framework, we aim to support more rigorous security assessment and drive progress toward safer agent deployment. "
"PromptArmor: Simple yet Effective Prompt Injection Defenses","https://scispace.com/paper/promptarmor-simple-yet-effective-prompt-injection-defenses-pqztq9c6kyyv","2025","Journal Article","arXiv.org","Tianneng Shi
Kaijie Zhu
Zhun Wang
Yuqi Jia
Will Cai
Weida Liang
Haonan Wang
Hend Alzahrani
Joshua Lu
Kenji Kawaguchi
Basel Alomair
Xuandong Zhao
William Yang Wang
Neil Gong
Wenbo Guo
D. Song","10.48550/arxiv.2507.15219","","- **Relevance Score:** 73/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses LLM to strip injected prompts, achieving <1% false rates on AgentDojo. Describes attack scenarios, evaluates defenses, and situates work within AI agent security, though stateful memory specifics are limited.","Despite their potential, recent research has demonstrated that LLM agents are vulnerable to prompt injection attacks, where malicious prompts are injected into the agent's input, causing it to perform an attacker-specified task rather than the intended task provided by the user. In this paper, we present PromptArmor, a simple yet effective defense against prompt injection attacks. Specifically, PromptArmor prompts an off-the-shelf LLM to detect and remove potential injected prompts from the input before the agent processes it. Our results show that PromptArmor can accurately identify and remove injected prompts. For example, using GPT-4o, GPT-4.1, or o4-mini, PromptArmor achieves both a false positive rate and a false negative rate below 1% on the AgentDojo benchmark. Moreover, after removing injected prompts with PromptArmor, the attack success rate drops to below 1%. We also demonstrate PromptArmor's effectiveness against adaptive attacks and explore different strategies for prompting an LLM. We recommend that PromptArmor be adopted as a standard baseline for evaluating new defenses against prompt injection attacks."
"Indirect Prompt Injections: Are Firewalls All You Need, or Stronger Benchmarks?","https://scispace.com/paper/indirect-prompt-injections-are-firewalls-all-you-need-or-0cpk8nsxvza2","2025","Journal Article","","Kasa, Kevin
Huang, Gabriel
Rish, Irina
Taylor, Graham W.
Dvijotham, Krishnamurthy DJ
Lacoste, Alexandre","10.48550/arxiv.2510.05244","https://scispace.compdf/indirect-prompt-injections-are-firewalls-all-you-need-or-0cpk8nsxvza2.pdf","- **Relevance Score:** 73/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses firewalls to block indirect prompt injections, details concrete attack scenarios, evaluates on four agent benchmarks, and frames work within AI agent security, though it does not focus specifically on stateful memory handling.","AI agents are vulnerable to indirect prompt injection attacks, where malicious instructions embedded in external content or tool outputs cause unintended or harmful behavior. Inspired by the well-established concept of firewalls, we show that a simple, modular and model-agnostic defense operating at the agent--tool interface achieves perfect security (0% or the lowest possible attack success rate) with high utility (task success rate) across four public benchmarks: AgentDojo, Agent Security Bench, InjecAgent and tau-Bench, while achieving a state-of-the-art security-utility tradeoff compared to prior results. Specifically, we employ a defense based on two firewalls: a Tool-Input Firewall (Minimizer) and a Tool-Output Firewall (Sanitizer). Unlike prior complex approaches, this firewall defense makes minimal assumptions on the agent and can be deployed out-of-the-box, while maintaining strong performance without compromising utility. However, our analysis also reveals critical limitations in these existing benchmarks, including flawed success metrics, implementation bugs, and most importantly, weak attacks, hindering significant progress in the field. To foster more meaningful progress, we present targeted fixes to these issues for AgentDojo and Agent Security Bench while proposing best-practices for more robust benchmark design. Further, we demonstrate that although these firewalls push the state-of-the-art on existing benchmarks, it is still possible to bypass them in practice, underscoring the need to incorporate stronger attacks in security benchmarks. Overall, our work shows that existing agentic security benchmarks are easily saturated by a simple approach and highlights the need for stronger agentic security benchmarks with carefully chosen evaluation metrics and strong adaptive attacks. "
