"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"Quantization-based Jailbreaking Vulnerability Analysis: A Study on Performance and Safety of the Llama3-8B-Instruct Model","https://scispace.com/paper/quantization-based-jailbreaking-vulnerability-analysis-a-ymg3gm5tpw3v","2025","Journal Article","IEEE Access","Jaesik Lee","10.1109/access.2025.3594287","","- **Relevance Score:** 52/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses 8B‑parameter Llama3 to quantify how lower‑bit quantization degrades reasoning and raises jailbreaking success, especially in Korean and past‑tense prompts; however, model exceeds small‑LLM size threshold.","This study systematically investigates how quantization, a key technique for the efficient deployment of large language models (LLMs), affects model safety. We specifically focus on jailbreaking vulnerabilities that emerge when models are subjected to quantization, particularly in multilingual and tense-shifted scenarios. Using Llama3-8B-Instruct as a representative model, we evaluate 23 quantization levels across two languages and three tenses. Our experimental results reveal a critical trade-off: lower-bit quantization degrades the model’s core reasoning abilities, which directly correlates with a higher Attack Success Rate (ASR). Within this context, for the model tested, 4-bit quantization appears as a practical “sweet spot,” maintaining near-baseline performance while significantly reducing computational costs. However, even at this level, substantial vulnerabilities persist—Korean prompts exhibit attack success rates 25.5 percentage points higher than English, and past-tense transformations increase vulnerability by 39.3 percentage points. These findings highlight that safety mechanisms are often compromised by quantization-induced performance degradation and are biased toward English, present-tense prompts. Although this study has clear limitations, it provides the first quantitative analysis of these combined vulnerabilities, underscoring the need for more comprehensive safety evaluations in quantized LLM deployment."
"On Jailbreaking Quantized Language Models Through Fault Injection Attacks","https://scispace.com/paper/on-jailbreaking-quantized-language-models-through-fault-k7kytyaiaaav","2025","Journal Article","","Tahmasivand Ahmad
Alouani, Ihsen
Fouda, Mohammed E.","10.48550/arxiv.2507.03236","","- **Relevance Score:** 52/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses gradient‑guided bit‑flip attacks to assess how FP8/INT8/INT4 quantization changes jailbreak success, providing detailed robustness and vulnerability metrics, but targets 3‑8B models, exceeding the <1B small‑model threshold.","The safety alignment of Language Models (LMs) is a critical concern, yet their integrity can be challenged by direct parameter manipulation attacks, such as those potentially induced by fault injection. As LMs are increasingly deployed using low-precision quantization for efficiency, this paper investigates the efficacy of such attacks for jailbreaking aligned LMs across different quantization schemes. We propose gradient-guided attacks, including a tailored progressive bit-level search algorithm introduced herein and a comparative word-level (single weight update) attack. Our evaluation on Llama-3.2-3B, Phi-4-mini, and Llama-3-8B across FP16 (baseline), and weight-only quantization (FP8, INT8, INT4) reveals that quantization significantly influences attack success. While attacks readily achieve high success (&gt;80% Attack Success Rate, ASR) on FP16 models, within an attack budget of 25 perturbations, FP8 and INT8 models exhibit ASRs below 20% and 50%, respectively. Increasing the perturbation budget up to 150 bit-flips, FP8 models maintained ASR below 65%, demonstrating some resilience compared to INT8 and INT4 models that have high ASR. In addition, analysis of perturbation locations revealed differing architectural targets across quantization schemes, with (FP16, INT4) and (INT8, FP8) showing similar characteristics. Besides, jailbreaks induced in FP16 models were highly transferable to subsequent FP8/INT8 quantization (&lt;5% ASR difference), though INT4 significantly reduced transferred ASR (avg. 35% drop). These findings highlight that while common quantization schemes, particularly FP8, increase the difficulty of direct parameter manipulation jailbreaks, vulnerabilities can still persist, especially through post-attack quantization. "
"Investigating the impact of quantization methods on the safety and reliability of large language models","https://scispace.com/paper/investigating-the-impact-of-quantization-methods-on-the-8s5wdx509pqa","2025","Journal Article","arXiv.org","Artyom Kharinaev
Viktor Moskvoretskii
Egor Shvetsov
Kseniia Studenikina
Bykov Mikhail
E. Burnaev","10.48550/arxiv.2502.15799","https://ieeexplore.ieee.org/iel8/6287639/6514899/11563799.pdf","- **Relevance Score:** 51/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses quantization to assess safety and robustness of LLMs, includes thorough robustness tests, mentions safety evaluation but lacks explicit adversarial attacks and focus on sub‑1B models.",""
"SLMQuant: Benchmarking Small Language Model Quantization for Practical Deployment","https://scispace.com/paper/slmquant-benchmarking-small-language-model-quantization-for-vnijamzl3erb","2025","Journal Article","","Jiacheng Wang
Yejun Zeng
Jinyang Guo
Yuqing Ma
Aishan Liu
Xianglong Liu","10.1145/3746262.3761973","https://dl.acm.org/doi/pdf/10.1145/3746262.3761973","- **Relevance Score:** 41/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Benchmarks SLM quantization across architectures, but lacks security, robustness, or adversarial analysis; strongly centered on sub‑billion‑parameter models.","Despite the growing interest in Small Language Models (SLMs) as resource-efficient alternatives to Large Language Models (LLMs), their deployment on edge devices remains challenging due to unresolved efficiency gaps in model compression. While quantization has proven effective for LLMs, its applicability to SLMs is significantly underexplored, with critical questions about differing quantization bottlenecks and efficiency profiles. This paper introduces SLMQuant, the first systematic benchmark for evaluating LLM compression techniques when applied to SLMs. Through comprehensive multi-track evaluations across diverse architectures and tasks, we analyze how state-of-the-art quantization methods perform on SLMs. Our findings reveal fundamental disparities between SLMs and LLMs in quantization sensitivity, demonstrating that direct transfer of LLM-optimized techniques leads to suboptimal results due to SLMs' unique architectural characteristics and training dynamics. We identify key factors governing effective SLM quantization and propose actionable design principles for SLM-tailored compression. SLMQuant establishes a foundational framework for advancing efficient SLM deployment on low-end devices in edge applications, and provides critical insights for deploying lightweight language models in resource-constrained scenarios."
"On the Quantization Robustness of Diffusion Language Models in Coding Benchmarks","https://scispace.com/paper/http://arxiv.org/abs/2604.20079v1","2026","Preprint","","Aarav Gupta
Gururaj Deshpande
Chandreyi Chakraborty","","https://arxiv.org/pdf/2604.20079v1","- **Relevance Score:** 41/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses GPTQ and HAWQ to quantize diffusion LLMs, showing low‑bit robustness on HumanEval/MBPP; lacks adversarial analysis and focuses on >1B‑parameter models.","Auto-regressive Large Language Models (LLMs) achieve strong performance on coding tasks, but incur high memory and inference costs. Diffusion-based language models (d-LLMs) offer bounded inference cost via iterative denoising, but their behavior under post-training quantization (PTQ) has been sparsely explored. We investigate the application and robustness of PTQ techniques, specifically GPTQ and a modified Hessian-Aware Quantization (HAWQ) algorithm, on a diffusion-based coding LLM (CoDA) and observe that these methods applied to CoDA exhibit greater robustness at low bitwidths compared to Qwen3-1.7B, its auto-regressive counterpart, under a standardized evaluation pipeline. We find that in our setup, CoDA exhibits greater robustness at low bitwidths (2-4 bits), with smaller accuracy degradation across HumanEval and MBPP benchmarks. Additionally, mixed-precision configurations derived from HAWQ provide smooth trade-offs across accuracy, latency, and memory. The results suggest that diffusion LLMs may offer advantages for efficient deployment due to more quantization-resilience."
"Exploring Layer-wise Information Effectiveness for Post-Training Quantization in Small Language Models","https://scispace.com/paper/http://arxiv.org/abs/2508.03332v2","2025","Preprint","","He Xiao
Qingyao Yang
Dirui Xie
Wendong Xu
Zunhai Su
Runming yang
Wenyong Zhou
Haobo Liu
Zhengwu Liu
Ngai Wong","","https://arxiv.org/pdf/2508.03332v2","- **Relevance Score:** 41/100
- **Relevance Tag:** Partially Relevant
- **Reasoning:** Uses layer-wise bit allocation to quantize sub‑8B models, achieving high accuracy at sub‑2‑bit. No security, robustness, or adversarial analyses are provided.","Large language models with billions of parameters are often over-provisioned: many layers contribute little unique information yet dominate the memory and energy footprint during inference. We present LieQ Layer-wise information effectiveness Quantization, a hardware-native, metric-driven post-training quantization framework that addresses the critical challenge of maintaining accuracy in sub-8B models, model parameters less than 8B, under extreme low-bit compression. LieQ keeps uniform bit-width within each layer while mixing precision across layers, preserving standard multiplication kernels and avoiding irregular memory access, codebooks, or irregular formats at inference time. Our method uncovers a strong correlation between layer-wise functional saliency and representational compactness, revealing that layers with higher training-induced energy concentration are functionally irreplaceable. Leveraging this insight, we propose a purely geometry-driven sensitivity proxy that enables automatic bit-width allocation under a target average-bit budget without expensive gradient updates or inference-based perplexity probing. At sub 2-bit, LieQ consistently reduces the large accuracy gap typically observed for naive 2-bit baselines on Qwen3 and LLaMA3.x families, while retaining standard-kernel efficiency. These properties make LieQ a practical path toward deploying small language models on resource-constrained edge devices. Code will available here: https://github.com/HeXiao-55/LieQ-official.git."
"SafeQuant: LLM Safety Analysis via Quantized Gradient Inspection","https://scispace.com/paper/safequant-llm-safety-analysis-via-quantized-gradient-txrgkk05r19u","","Journal Article","","Sindhu Padakandla
Sadbhavana Babar
Rathod Darshan D
Manohar Kaul","10.18653/v1/2025.naacl-long.127","","- **Relevance Score:** 37/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses quantized gradient inspection for safety detection, but targets general LLMs, not specifically small models; limited robustness or adversarial analysis for quantized small LLMs.","Content warning: This paper contains examples of harmful language and content. Contemporary jailbreak attacks on Large Language Models (LLMs) employ sophisticated techniques with obfuscated content to bypass safety guardrails. Existing defenses either use computationally intensive LLM verification or require adversarial fine-tuning, leaving models vulnerable to advanced attacks. We introduce SafeQuant, a novel defense framework that leverages quantized gradient patterns to identify harmful prompts efficiently. Our key insight is that when generating identical responses like “Sure"", LLMs exhibit distinctly different internal gradient patterns for safe versus harmful prompts, reflecting conflicts with safety training. By capturing these patterns through selective gradient masking and quantization, SafeQuant significantly outperforms existing defenses across multiple benchmarks while maintaining model utility. The method demonstrates particular effectiveness against sophisticated attacks like WordGame prompts and persuasive adversarial attacks, achieving an F1-score of 0.80 on WordGame dataset and outperforming state-of-the-art (SoTA) methods like GradSafe by an absolute margin of 57%."
"Evaluating quantized large language models","https://scispace.com/paper/evaluating-quantized-large-language-models-1bm3ot6170","2024","Journal Article","arXiv.org","Shiyao Li
Xuefei Ning
Luning Wang
Tengxuan Liu
Xiangsheng Shi
Shengen Yan
Guohao Dai
Huazhong Yang
Yu Wang","10.48550/arxiv.2402.18158","https://arxiv.org/pdf/2402.18158","- **Relevance Score:** 35/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Evaluates quantization across models as small as 125M, but lacks security, robustness, or adversarial analyses; small‑model focus is present but not exclusive.","Post-training quantization (PTQ) has emerged as a promising technique to reduce the cost of large language models (LLMs). Specifically, PTQ can effectively mitigate memory consumption and reduce computational overhead in LLMs. To meet the requirements of both high efficiency and performance across diverse scenarios, a comprehensive evaluation of quantized LLMs is essential to guide the selection of quantization methods. This paper presents a thorough evaluation of these factors by evaluating the effect of PTQ on Weight, Activation, and KV Cache on 11 model families, including OPT, LLaMA2, Falcon, Bloomz, Mistral, ChatGLM, Vicuna, LongChat, StableLM, Gemma, and Mamba, with parameters ranging from 125M to 180B. The evaluation encompasses five types of tasks: basic NLP, emergent ability, trustworthiness, dialogue, and long-context tasks. Moreover, we also evaluate the state-of-the-art (SOTA) quantization methods to demonstrate their applicability. Based on the extensive experiments, we systematically summarize the effect of quantization, provide recommendations to apply quantization techniques, and point out future directions. The code can be found in https://github.com/thu-nics/qllm-eval."
"Hardening llm fine-tuning: From differentially private data selection to trustworthy model quantization","https://scispace.com/paper/hardening-llm-fine-tuning-from-differentially-private-data-wmz3aj8n4rli","","Journal Article","IEEE Transactions on Information Forensics and Security","Zehang Deng
Ruoxi Sun
Minhui Xue
Wanlun Ma
Sheng Wen
Surya Nepal
Yang Xiang","10.1109/tifs.2025.3581103","","- **Relevance Score:** 33/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses quantization to harden fine‑tuned LLMs and discusses trustworthiness, but does not target sub‑billion‑parameter models nor provide explicit robustness or adversarial analyses.",""
"Increased LLM Vulnerabilities from Fine-tuning and Quantization","https://scispace.com/paper/increased-llm-vulnerabilities-from-fine-tuning-and-1g0y5dpigk","2024","Journal Article","arXiv.org","Divyanshu Kumar
Anurakt Kumar
Sahil Agarwal
P. Harshangi","10.48550/arxiv.2404.04392","","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Uses fine‑tuning and quantization to show reduced jailbreak resistance in mainstream LLMs; evaluates robustness and attacks but not on sub‑1B models.","Large Language Models (LLMs) have become very popular and have found use cases in many domains, such as chatbots, auto-task completion agents, and much more. However, LLMs are vulnerable to different types of attacks, such as jailbreaking, prompt injection attacks, and privacy leakage attacks. Foundational LLMs undergo adversarial and alignment training to learn not to generate malicious and toxic content. For specialized use cases, these foundational LLMs are subjected to fine-tuning or quantization for better performance and efficiency. We examine the impact of downstream tasks such as fine-tuning and quantization on LLM vulnerability. We test foundation models like Mistral, Llama, MosaicML, and their fine-tuned versions. Our research shows that fine-tuning and quantization reduces jailbreak resistance significantly, leading to increased LLM vulnerabilities. Finally, we demonstrate the utility of external guardrails in reducing LLM vulnerabilities."
"Mind the gap: A practical attack on GGUF quantization","https://scispace.com/paper/mind-the-gap-a-practical-attack-on-gguf-quantization-ngiygw0b0zbz","2025","Journal Article","","Egashira Kazuki
Staab, Robin
Vero, Mark
He Jingxuan
Vechev Martin","10.48550/arxiv.2505.23786","https://arxiv.org/pdf/2505.23786","- **Relevance Score:** 30/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Shows GGUF quantization can be exploited, demonstrating adversarial attacks on quantized LLMs, but targets large models and lacks dedicated robustness metrics for small LLMs.","With the increasing size of frontier LLMs, post-training quantization has become the standard for memory-efficient deployment. Recent work has shown that basic rounding-based quantization schemes pose security risks, as they can be exploited to inject malicious behaviors into quantized models that remain hidden in full precision. However, existing attacks cannot be applied to more complex quantization methods, such as the GGUF family used in the popular ollama and llama$.$cpp frameworks. In this work, we address this gap by introducing the first attack on GGUF. Our key insight is that the quantization error -- the difference between the full-precision weights and their (de-)quantized version -- provides sufficient flexibility to construct malicious quantized models that appear benign in full precision. Leveraging this, we develop an attack that trains the target malicious LLM while constraining its weights based on quantization errors. We demonstrate the effectiveness of our attack on three popular LLMs across nine GGUF quantization data types on three diverse attack scenarios: insecure code generation ($Δ$=$88.7\%$), targeted content injection ($Δ$=$85.0\%$), and benign instruction refusal ($Δ$=$30.1\%$). Our attack highlights that (1) the most widely used post-training quantization method is susceptible to adversarial interferences, and (2) the complexity of quantization schemes alone is insufficient as a defense. "
"Exploring quantization techniques for large-scale language models: Methods, challenges and future directions","https://scispace.com/paper/exploring-quantization-techniques-for-large-scale-language-4ckehqxs8lrr","2024","Proceedings Article","","Ao Shen
Zhiquan Lai
Dongsheng Li","10.1145/3689236.3695383","https://dl.acm.org/doi/pdf/10.1145/3689236.3695383","- **Relevance Score:** 25/100
- **Relevance Tag:** Low Relevance
- **Reasoning:** Reviews quantization methods for large‑scale LLMs; does not target sub‑billion‑parameter models, nor provide security, robustness, or adversarial analyses for small LLMs.",""
