"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"A survey of llm-driven ai agent communication: Protocols, security risks, and defense countermeasures","https://scispace.com/paper/a-survey-of-llm-driven-ai-agent-communication-protocols-5xihscf0sz61","","Journal Article","arXiv.org","Dezhang Kong
Shi Lin
Zhebo Wang
Minghao Li
Yufeng Li
Yilun Zhang
Zeyang Sha
Yuyuan Li
Changting Lin
Xun Wang
Xuan Liu
Ningyu Zhang
Muhammad Khurram Khan","10.48550/arxiv.2506.19676","https://arxiv.org/pdf/2506.19676","… security analyses about AA and AE. Survey [145] systematically summarizes seven security challenges for multi-agent … queries to simulate the propagation mechanism of computer …",""
"Memory poisoning and secure multi-agent systems","https://scispace.com/paper/5c3a_F3iMgoJ","","","","V Torra
M Bras-Amorós","","https://arxiv.org/pdf/2603.20357","… framework for the deployment of LLM-based software. LLMs-… When databases are updated, provenance structures can en… mitigation strategies based on security technologies. More …",""
"Toward Trustworthy Agentic AI: A Multimodal Framework for Preventing Prompt Injection Attacks","https://scispace.com/paper/QxQRGJqhaSEJ","","","","TA Syed
MA Almutairi
MA Moaty","","https://arxiv.org/pdf/2512.23557","… which provides security to … provenance registry of tracking trust through multiagent courses of action and a masking plan to generate a trust strategy, restricting unsafe content at an LLM …",""
"Exploring LLM-based multi-agent situation awareness for zero-trust space-air-ground integrated network","https://scispace.com/paper/exploring-llm-based-multi-agent-situation-awareness-for-zero-jw2vug35mqj2","","Journal Article","IEEE Journal on Selected Areas in Communications","Gu Nan
Hongcan Guo
Hanqing Mu
Long Wang
Jiayi Li
Baohua Qin
Qimei Cui
Tony Q. S. Quek","10.1109/jsac.2025.3560042","","… Our LLM-SA first learns to extract salient attack features from information generated by SAG-… 3) Dynamic LLM-based multi-agent: We compare our dynamic multi-agent LLM with four …",""
"Red-teaming llm multi-agent systems via communication attacks","https://scispace.com/paper/red-teaming-llm-multi-agent-systems-via-communication-5r21xm4swbyl","2025","Journal Article","arXiv.org","Pengfei He
Yuping Lin
Shen Dong
Han Xu
Yue Xing
Hui Liu","10.48550/arxiv.2502.14847","https://aclanthology.org/2025.findings-acl.349.pdf","… We consider a communication attack within an LLM-MAS, where the attacker can intercept and manipulate communication between a victim agent and other agents to achieve …",""
"Trustworthy LLM Agents: Threats and Countermeasures","https://scispace.com/paper/trustworthy-llm-agents-threats-and-countermeasures-5qgs5941mnti","2025","Journal Article","","Vignan Chintala","10.36227/techrxiv.175519209.95291850/v1","https://www.techrxiv.org/doi/pdf/10.36227/techrxiv.175519209.95291850","… LLM agents, examining vulnerabilities across multiple dimensions including prompt injection, multi-agent … of LLM agents and the development of adequate security frameworks. Our …",""
"Liva: A multi-agent llm-assisted system for iot vulnerability analysis","https://scispace.com/paper/Kxr6QNCKEyUJ","","","","Z Yang
H Peng
Y Jiang
J Liu
H Luo","","","… Multi-agent LLM System. we introduce a novel multi-agent taint analysis System based on fine-tuned … By implementing a taint propagation agent and a vulnerability inference agent, Liva …",""
"AgentLeak: A Benchmark for Internal-Channel Privacy Leakage in Multi-Agent LLM Systems","https://scispace.com/paper/83UowZL8bX8J","","","","F El Yagoubi
G Badu-Marfo
R Al Mallah","","https://ieeexplore.ieee.org/iel8/6287639/6514899/11569042.pdf","… minimization perspective, where the internal propagation of sensitive data is permitted only … our taxonomy, specifically because multiagent systems introduce attack surfaces that do not …",""
"L2M-AID: Autonomous Cyber-Physical Defense by Fusing Semantic Reasoning of Large Language Models with Multi-Agent Reinforcement Learning (Preprint)","https://scispace.com/paper/l2m-aid-autonomous-cyber-physical-defense-by-fusing-semantic-oou3honfi8sn","2025","Journal Article","","Xu Tianxiang
Wen Zhi-chao
Zhao Xinyu
Wang Jun
Li Yan
Liu Chang","10.48550/arxiv.2510.07363","https://arxiv.org/pdf/2510.07363","… Autonomous Industrial Defense using LLM-empowered, Multi-agent reinforcement learning. … driven by a Large Language Model (LLM), to achieve adaptive and resilient security. The …","The increasing integration of Industrial IoT (IIoT) exposes critical cyber-physical systems to sophisticated, multi-stage attacks that elude traditional defenses lacking contextual awareness. This paper introduces L2M-AID, a novel framework for Autonomous Industrial Defense using LLM-empowered, Multi-agent reinforcement learning. L2M-AID orchestrates a team of collaborative agents, each driven by a Large Language Model (LLM), to achieve adaptive and resilient security. The core innovation lies in the deep fusion of two AI paradigms: we leverage an LLM as a semantic bridge to translate vast, unstructured telemetry into a rich, contextual state representation, enabling agents to reason about adversary intent rather than merely matching patterns. This semantically-aware state empowers a Multi-Agent Reinforcement Learning (MARL) algorithm, MAPPO, to learn complex cooperative strategies. The MARL reward function is uniquely engineered to balance security objectives (threat neutralization) with operational imperatives, explicitly penalizing actions that disrupt physical process stability. To validate our approach, we conduct extensive experiments on the benchmark SWaT dataset and a novel synthetic dataset generated based on the MITRE ATT&amp;CK for ICS framework. Results demonstrate that L2M-AID significantly outperforms traditional IDS, deep learning anomaly detectors, and single-agent RL baselines across key metrics, achieving a 97.2% detection rate while reducing false positives by over 80% and improving response times by a factor of four. Crucially, it demonstrates superior performance in maintaining physical process stability, presenting a robust new paradigm for securing critical national infrastructure. "
"A Multi-Agent System for Cybersecurity Threat Detection and Correlation Using Large Language Models","https://scispace.com/paper/a-multi-agent-system-for-cybersecurity-threat-detection-and-v6uo85j474bh","2025","Journal Article","IEEE Access","Yasser Hmimou
Mohamed Tabaa
Azeddine Khiat
Zineb Hidila","10.1109/access.2025.3602681","https://ieeexplore.ieee.org/iel8/6287639/6514899/11141466.pdf","… In this work, we present an LLM-enhanced multi-agent … These studies support our strategy of linking security … across the system, reduces error propagation and provides a clear control …","As cyber-attacks rapidly evolve across communication, infrastructure and data layers, traditional security solutions such as rule-based intrusion detection systems (IDS) or signature-based antivirus programs are effective at detecting known threats, but they often lack the contextual understanding and semantic interpretation necessary to detect complex or evolving attacks. For example, spear-phishing campaigns, advanced persistent threats (APTs), and multi-stage attacks often escape detection due to their subtle and context-dependent nature. This limitation creates a critical gap in detecting coordinated or subtle attack patterns that span multiple systems and domains. The need for semantic understanding, cross-domain visibility, and adaptive detection is increasingly urgent, particularly as threat actors employ polymorphic and AI-driven strategies that traditional systems cannot interpret or correlate effectively. This paper presents a modular multi-agent architecture that integrates established cybersecurity analysis tools with large language models (LLMs) to achieve intelligent, explicable and highly accurate detection of threats across diverse data types. Three specialized agents: 1) email verification, 2) log analysis, and 3) IP address scanning each operate independently with tailored detection pipelines that combine domain-specific tools and LLM-powered semantic analysis components to identify, characterize, and report threats specific to their domain. At the core of the system lies a contextual recommendation system that processes and cross-analyzes the outputs of all specialized agents to detect complex threat patterns such as multi-vector, time-based, or stealth attacks that would otherwise evade isolated detection mechanisms. The evaluation on benchmark datasets, including CIC-IDS 2017, SpamAssassin, and custom simulated network environments, demonstrates threat detection accuracy of 93.6%, multi-agent correlation accuracy of 87%, and false positive reduction of 41.3% compared to traditional approaches. The use of LLMs for both structured explanations and chain-of-thought reporting further enhances analyst confidence and reduces triage time."
