"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"MemoryGraft: Persistent compromise of LLM agents via poisoned experience retrieval","https://scispace.com/paper/ZVNJhvSqrZ4J","","","","SS Srivastava
H He","","https://arxiv.org/pdf/2512.16962","… ’s long-term memory. Unlike traditional prompt injections that are transient, or standard RAG … We introduce MemoryGraft, a persistent memory poisoning attack that exploits the semantic …",""
"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense …","https://scispace.com/paper/t1DaE6OG9TgJ","","","","S Gulyamov
S Gulyamov
A Rodionov
R Khursanov","","","… memory surviving across chat sessions via memory RAG … % attack success rates [11], proving that RAG poisoning scales … when prompt injection causes a data breach—the LLM provider…",""
"Memory poisoning attacks on retrieval-augmented Large Language Model agents via deceptive semantic reasoning","https://scispace.com/paper/wDnhHr85HJwJ","","","","H Jing
F Li
Y Dong
W Zhou
R Liu","","","… acceptance of specific attack tools. The optimized decisions are injected into the knowledge … This reveals critical vulnerabilities in RAG based LLM agents under adversarial historical …",""
"Backdoored retrievers for prompt injection attacks on retrieval augmented generation of large language models","https://scispace.com/paper/backdoored-retrievers-for-prompt-injection-attacks-on-6rmikswq97xc","2024","Journal Article","","Cody Clop
Yannick Teglia","10.48550/arxiv.2410.14479","https://arxiv.org/pdf/2410.14479","… corpus poisoning techniques and propose a novel backdoor attack … In this paper, we explore a broader set of attack objectives. … of LLM vulnerabilities to RAG prompt injection attacks, we …","Large Language Models (LLMs) have demonstrated remarkable capabilities in generating coherent text but remain limited by the static nature of their training data. Retrieval Augmented Generation (RAG) addresses this issue by combining LLMs with up-to-date information retrieval, but also expand the attack surface of the system. This paper investigates prompt injection attacks on RAG, focusing on malicious objectives beyond misinformation, such as inserting harmful links, promoting unauthorized services, and initiating denial-of-service behaviors. We build upon existing corpus poisoning techniques and propose a novel backdoor attack aimed at the fine-tuning process of the dense retriever component. Our experiments reveal that corpus poisoning can achieve significant attack success rates through the injection of a small number of compromised documents into the retriever corpus. In contrast, backdoor attacks demonstrate even higher success rates but necessitate a more complex setup, as the victim must fine-tune the retriever using the attacker poisoned dataset. "
"InjecMEM: Memory injection attack on LLM agent memory systems","https://scispace.com/paper/6VhRVLESTDgJ","","","","H Tian
Z Sha
J Wang
Y Liu
Z Huang
X Huang","","https://openreview.net/pdf?id=QVX6hcJ2um","… static, trigger-optimization attacks in RAG and explain why prior … Finally, we demonstrate indirect poisoning via tools. A … During optimization we use fused prompt formats that mirror the …",""
"Prompt Injection Attacks in Large Language Models and AI Agent Systems: A Comprehensive Review of Vulnerabilities, Attack Vectors, and Defense Mechanisms","https://scispace.com/paper/prompt-injection-attacks-in-large-language-models-and-ai-6p8njfahgk30","2026","Journal Article","","Saidakhror Gulyamov
Saidakhror Gulyamov
Andrey Rodionov
Rustam Khursanov
K. Mekhmonov
Djakhongir Babaev
Akmaljon Rakhimjonov","10.3390/info17010054","https://www.preprints.org/frontend/manuscript/40097b1a4d5fc29a26a1088e674be312/download_pub","… through Retrieval-Augmented Generation (RAG) poisoning. … actionable mitigation strategies based on OWASP Top 10 for LLM … memory surviving across chat sessions via memory RAG …",""
"Overcoming the Retrieval Barrier: Indirect Prompt Injection in the Wild for LLM Systems","https://scispace.com/paper/overcoming-the-retrieval-barrier-indirect-prompt-injection-c2vofy8r7ssy","2026","Journal Article","","Hongyan Chang
Ergute Bao
Xinjian Luo
Ting Yu","10.48550/arxiv.2601.07072","https://arxiv.org/pdf/2601.07072","… external data sources with hidden instructions that the LLM … of indirect prompt injection across both RAG and agentic systems. … based LLM systems under indirect prompt injection attack. …","Large language models (LLMs) increasingly rely on retrieving information from external corpora. This creates a new attack surface: indirect prompt injection (IPI), where hidden instructions are planted in the corpora and hijack model behavior once retrieved. Previous studies have highlighted this risk but often avoid the hardest step: ensuring that malicious content is actually retrieved. In practice, unoptimized IPI is rarely retrieved under natural queries, which leaves its real-world impact unclear. We address this challenge by decomposing the malicious content into a trigger fragment that guarantees retrieval and an attack fragment that encodes arbitrary attack objectives. Based on this idea, we design an efficient and effective black-box attack algorithm that constructs a compact trigger fragment to guarantee retrieval for any attack fragment. Our attack requires only API access to embedding models, is cost-efficient (as little as $0.21 per target user query on OpenAI's embedding models), and achieves near-100% retrieval across 11 benchmarks and 8 embedding models (including both open-source models and proprietary services). Based on this attack, we present the first end-to-end IPI exploits under natural queries and realistic external corpora, spanning both RAG and agentic systems with diverse attack objectives. These results establish IPI as a practical and severe threat: when a user issued a natural query to summarize emails on frequently asked topics, a single poisoned email was sufficient to coerce GPT-4o into exfiltrating SSH keys with over 80% success in a multi-agent workflow. We further evaluate several defenses and find that they are insufficient to prevent the retrieval of malicious text, highlighting retrieval as a critical open vulnerability. "
"System prompt poisoning: Persistent attacks on large language models beyond user injection","https://scispace.com/paper/system-prompt-poisoning-persistent-attacks-on-large-language-g7dimpgxj3do","2025","Journal Article","arXiv.org","Jiawei Guo
Haipeng Cai","10.48550/arxiv.2505.06493","https://arxiv.org/pdf/2505.06493","… (RAG), which are proven to be effective for improving LLM … In this case, LLMs will not hold any memory about previous … get access to system prompt of the LLM software system and …",""
"Adversarial and Multilingual Threats in Retrieval-Augmented Generation: From Prompt Injection to Model Exploitation","https://scispace.com/paper/adversarial-and-multilingual-threats-in-retrieval-augmented-1poia1mr431k","2025","Journal Article","","Mohamed Bader-El-Den","10.1109/gaclm67198.2025.11231998","","… RAG architectures enhance LLM capabilities by fusing parametric memory (ie, pre-trained … developed to evaluate the security vulnerabilities of RetrievalAugmented Generation (…",""
"Adversarial Threats to AI-Augmented Security Operations: A Systematic Survey","https://scispace.com/paper/B9D372b8OPoJ","","","","KR YEDUGURU","","https://assets-eu.researchsquare.com/files/rs-9602180/v1/dd226be9-6bf7-4b24-a3fa-d4137832d034.pdf","… ranks prompt injection as the primary vulnerability in LLM … introduces an additional attack surface—the agent's memory of its … that RAG poisoning leaves detectable fingerprints in LLM …",""
